1：练字用什么笔合适？	只要自己用着顺手，什么笔都可以。
2：如何能练好字？	先从你下定决心那一刻开始，练字不是一朝一夕的事，也没有捷径可走，必须脚踏实地的去练，坚持才能写好的。
3：有什么字帖推荐吗？	如果是为了提高日常书写水平，现代字帖足够，可以选择目前知名度较高的三位老师：荆霄鹏，吴玉生，田英章。
4：正确的握笔姿势是怎样的？力度如何把握？	关于握笔这个问题，文字描述确实比较吃力，大家可以参照下图片。硬笔书写的握笔呢，一般要做到指实掌虚，拇指食指还有中指拿捏式握笔，笔尖离手指2到3厘米。改掉不规范的握笔姿势，成年人一般半个月左右就能纠正过来。
5：每天练多长时间合适？	这个根据个人的时间和接受能力来决定了。建议是每天坚持半小时以上。刚开可以每天只练习一两个字，积少成多，等熟悉了就可慢慢增加数量。
6：初学者用什么纸合适？	初学最好使用米字格或者田字格，因为可以更好找准笔画的位置，也就是通过线条来定位，字的大小也能更加统一。市面上各种格子五花八门，什么专利格子啥的，多数是噱头，不太建议购买使用。
7：练字顺序是什么，先练笔画还是单字？	字是由笔画组成的，自然先要写好笔画先。但是如果只练习笔画，而不结合相应例字来练，也就是不知道每个字的笔画怎么处理，也不会有太大提高，所以应该结合起来练习，中国的文字博大精深，变化多端，不是每个字的笔画都是千篇一律的，要灵活处理笔画在不同位置，不同字的细微的变化，而不是完全套公式。
8：笔画的轻重怎么练习，如何写出粗细变化，怎样写出笔锋，如何控笔？	这几个问题，其实问的可以说是一样的，就是要提高自己手中的笔与纸面接触的力度问题，自然是要多练，找到感觉很重要。以中性笔为例，他的笔尖粗细是固定的，但是你的力度不同，速度不同就会出现笔画的粗细，力度大，接触面积就大，反之就细。个人觉得，最容易写出笔锋的两个笔画应该是撇和提，自己可以尝试下，起笔时顿笔，然后顺势撇出，提出，慢慢减小力度，提高速度，就可以看到非常明显的粗细变化。
9：单字能写好，写一段话就会显得很乱怎么办？	单字能写好，说明对字的笔画和结构有一定的掌握，而写一段话，一篇文章时，就是章法布局的问题了。要注意字与字之间的大小搭配问题，行与行之间的间距问题，这些都是需要通过大量的练习才能提高的。
10：在空白纸上一段话写不直，如何写整齐？	这个问题跟上一个有点雷同，重点是要写好单字，把握每个字的重心，最好的方法是先在有横线的纸上多练习，当你能把每个字的重心写到一条水平线上的话，就已经成功一半了，其次要写整齐，每行之间的间距，也就是横写情况下，上下两行字的的间距也得均匀，看起来才会清晰明了，整齐划一。
11：练字写什么字体，一定要先练楷书吗？	这个也并非绝对。有了楷书的功底，练习其他字体时，因为你对字的结构那些了解了，练习起来自然事半功倍，会有更快的提高。但是因为每个字体都有不同之处，笔画变化也会不一样，都需要单独练习对应字体的笔画才能写出神态，如果不能灵活变化，都只套用楷书的基本笔画，看起来也会不自然。
